,kamar_mandi,kamar_tidur,luas_bangunan,luas_tanah,harga,kecamatan,garasi,kolam_renang,taman,gym,listrik,jumlah_lantai
0,5,6,353.0,155.0,6700000000.0,Mampang Prapatan,True,True,False,False,6600.0,2
1,4,4,90.0,60.0,1299000000.0,Cilandak,True,False,False,False,2200.0,2
2,4,6,160.0,109.0,2300000000.0,Kebayoran Baru,True,False,False,False,3500.0,2
3,3,4,125.0,72.0,3149480000.0,Mampang Prapatan,True,False,True,False,2200.0,2
4,3,4,90.0,87.0,1210000000.0,Jagakarsa,True,True,False,False,2200.0,1
5,5,5,160.0,117.0,2700000000.0,Cilandak,True,False,False,False,13500.0,2
6,6,6,180.0,130.0,2500000000.0,Jagakarsa,True,False,True,False,13500.0,2
7,5,5,145.0,92.0,1850000000.0,Jagakarsa,True,False,False,False,13500.0,2
8,4,5,132.0,118.0,2609000000.0,Jagakarsa,True,False,False,False,13500.0,2
9,6,6,250.0,202.0,4500000000.0,Tebet,True,False,True,False,1300.0,2
10,3,4,245.0,151.0,5950000000.0,Cilandak,True,False,False,False,1300.0,3
11,8,8,1000.0,800.0,23000000000.0,Pasar Minggu,True,False,False,False,1300.0,3
12,4,5,154.0,144.0,2900000000.0,Jagakarsa,True,False,False,False,1300.0,3
13,2,2,441.0,1424.0,42000000000.0,Kebayoran Lama,True,False,False,False,1300.0,3
14,6,7,300.0,205.0,7000000000.0,Tebet,True,False,True,True,1300.0,1
15,7,6,386.0,815.0,7000000000.0,Pesanggrahan,True,False,False,False,1300.0,1
16,3,5,150.0,186.0,4000000000.0,Kebayoran Baru,True,False,False,False,1300.0,2
17,9,11,1000.0,1400.0,16500000000.0,Pasar Minggu,True,True,False,False,1300.0,2
18,5,5,360.0,450.0,6800000000.0,Pesanggrahan,True,False,False,False,10500.0,2
19,5,5,250.0,147.0,3900000000.0,Cilandak,True,False,False,False,10500.0,2
20,4,6,250.0,169.0,3500000000.0,Jagakarsa,True,True,True,False,10500.0,2
21,4,7,500.0,701.0,6500000000.0,Pasar Minggu,True,False,False,False,10500.0,2
22,4,5,273.0,131.0,5404702500.0,Kebayoran Lama,True,True,True,False,10500.0,3
23,4,5,300.0,550.0,8500000000.0,Cilandak,True,False,True,False,1300.0,1
24,4,6,187.0,238.0,7700000000.0,Tebet,True,False,False,False,1300.0,2
25,8,8,200.0,420.0,12000000000.0,Tebet,True,False,False,False,1300.0,2
26,7,6,720.0,520.0,16000000000.0,Kebayoran Lama,True,True,True,False,2200.0,2
27,5,5,180.0,122.0,2300000000.0,Jagakarsa,True,False,False,False,2200.0,2
28,6,7,660.0,670.0,16000000000.0,Pasar Minggu,True,True,True,False,2200.0,2
29,3,5,145.0,91.0,3337312500.0,Cilandak,True,False,False,False,2200.0,2
30,5,7,400.0,450.0,14800000000.0,Mampang Prapatan,True,True,False,False,2200.0,2
31,5,4,160.0,116.0,2700000000.0,Cilandak,True,False,False,False,2200.0,2
32,5,6,150.0,150.0,2600000000.0,Jagakarsa,True,False,False,False,2200.0,2
33,6,6,250.0,152.0,7500000000.0,Setiabudi,True,False,True,False,2200.0,2
34,4,5,433.0,476.0,15500000000.0,Jagakarsa,True,False,False,False,16500.0,2
35,7,6,390.0,130.0,5900000000.0,Tebet,True,False,True,False,16500.0,3
36,5,5,373.0,200.0,6500000000.0,Cilandak,True,False,False,False,16500.0,3
37,4,4,1000.0,647.0,60000000000.0,Kebayoran Baru,True,False,True,False,16500.0,3
38,4,5,290.0,232.0,4800000000.0,Pasar Minggu,True,False,True,False,16500.0,3
39,4,5,300.0,596.0,23000000000.0,Kebayoran Baru,True,True,False,False,16500.0,3
40,4,7,275.0,340.0,4800000000.0,Cilandak,True,False,True,False,16500.0,2
41,4,7,200.0,99.0,1950000000.0,Jagakarsa,True,True,False,False,16500.0,3
42,6,10,418.0,980.0,17000000000.0,Pasar Minggu,True,False,False,False,16500.0,2
43,7,8,1000.0,820.0,21000000000.0,Cilandak,True,True,True,False,16500.0,2
44,6,8,400.0,450.0,6300000000.0,Cilandak,True,False,False,False,16500.0,2
45,8,11,376.0,931.0,26000000000.0,Cilandak,True,False,False,False,16500.0,2
46,6,8,340.0,540.0,8800000000.0,Kebayoran Lama,True,False,False,False,16500.0,2
47,6,9,200.0,268.0,9000000000.0,Mampang Prapatan,True,False,False,False,16500.0,2
48,5,11,350.0,360.0,10000000000.0,Mampang Prapatan,True,False,False,False,16500.0,2
49,4,5,154.0,144.0,3150000000.0,Jagakarsa,True,False,False,False,16500.0,2
50,4,7,320.0,342.0,8900000000.0,Cilandak,True,False,False,False,16500.0,3
51,2,4,700.0,1295.0,22015000000.0,Mampang Prapatan,True,False,False,False,16500.0,2
52,6,8,240.0,1513.0,38000000000.0,Cilandak,True,False,False,False,16500.0,2
53,5,6,427.0,1046.0,58000000000.0,Setiabudi,True,True,True,False,16500.0,2
54,5,6,180.0,133.0,2600000000.0,Jagakarsa,True,False,False,False,16500.0,2
55,5,7,450.0,625.0,35000000000.0,Tebet,True,False,False,False,16500.0,2
56,5,7,600.0,1200.0,18000000000.0,Pasar Minggu,True,True,False,False,16500.0,2
57,4,5,300.0,600.0,8600000000.0,Cilandak,True,False,False,False,16500.0,3
58,6,7,260.0,351.0,8700000000.0,Cilandak,True,False,True,False,16500.0,2
59,4,7,500.0,500.0,11000000000.0,Tebet,True,False,False,False,16500.0,2
60,6,8,900.0,1100.0,17000000000.0,Jagakarsa,True,True,False,False,16500.0,2
61,3,5,150.0,125.0,2900000000.0,Cilandak,True,False,True,False,16500.0,1
62,3,4,110.0,56.0,1050000000.0,Jagakarsa,True,False,False,False,16500.0,2
63,5,5,200.0,120.0,2300000000.0,Cilandak,True,False,True,False,16500.0,2
64,3,5,120.0,200.0,6250000000.0,Kebayoran Baru,True,False,False,False,16500.0,2
65,4,5,187.0,376.0,11500000000.0,Jagakarsa,True,False,False,False,16500.0,2
66,5,7,300.0,260.0,9800000000.0,Kebayoran Baru,True,False,False,False,16500.0,2
67,5,6,108.0,192.0,5900000000.0,Setiabudi,True,False,False,False,16500.0,2
68,5,5,400.0,300.0,9500000000.0,Pasar Minggu,True,True,False,True,16500.0,3
69,14,15,214.0,214.0,3500000000.0,Kebayoran Baru,True,False,False,False,16500.0,2
70,5,6,410.0,170.0,6300000000.0,Cilandak,True,True,False,False,16500.0,3
71,5,6,550.0,200.0,12000000000.0,Kebayoran Lama,True,True,False,False,16500.0,3
72,7,6,600.0,920.0,10200000000.0,Pesanggrahan,True,False,False,False,16500.0,2
73,3,6,100.0,119.0,1200000000.0,Jagakarsa,True,False,False,False,16500.0,2
74,4,6,1200.0,2138.0,32000000000.0,Jagakarsa,True,True,True,False,16500.0,2
75,6,8,300.0,205.0,5600000000.0,Mampang Prapatan,True,False,False,False,16500.0,2
76,4,6,300.0,154.0,4970000000.0,Tebet,True,False,False,False,16500.0,3
77,3,4,120.0,78.0,1650000000.0,Cilandak,True,False,False,False,16500.0,3
78,3,3,80.0,72.0,1500000000.0,Pasar Minggu,True,False,False,False,16500.0,2
79,7,8,400.0,330.0,5500000000.0,Mampang Prapatan,True,False,False,False,16500.0,2
80,6,6,650.0,524.0,32000000000.0,Kebayoran Lama,True,True,False,False,16500.0,3
81,4,4,275.0,152.0,3900000000.0,Cilandak,True,True,False,False,16500.0,2
82,5,5,200.0,250.0,3800000000.0,Jagakarsa,True,False,True,False,16500.0,2
83,4,5,150.0,115.0,1650000000.0,Jagakarsa,True,False,True,False,16500.0,2
84,5,6,400.0,268.0,9700000000.0,Kebayoran Lama,True,False,False,False,16500.0,2
85,4,4,160.0,205.0,2000000000.0,Pasar Minggu,True,False,False,False,16500.0,2
86,5,7,600.0,385.0,35000000000.0,Kebayoran Baru,True,True,False,False,16500.0,3
87,5,5,260.0,215.0,5900000000.0,Cilandak,True,False,False,False,16500.0,2
88,6,7,445.0,247.0,9500000000.0,Tebet,True,True,True,False,16500.0,3
89,4,5,165.0,86.0,1900000000.0,Jagakarsa,True,True,False,False,16500.0,2
90,6,6,140.0,125.0,2400000000.0,Pesanggrahan,True,False,False,False,16500.0,2
91,3,3,130.0,146.0,830000000.0,Pesanggrahan,True,False,True,False,16500.0,1
92,3,4,100.0,106.0,1950000000.0,Mampang Prapatan,True,False,False,False,16500.0,1
93,5,6,120.0,90.0,3300000000.0,Tebet,True,False,False,False,16500.0,2
94,9,18,350.0,558.0,4000000000.0,Jagakarsa,True,False,True,False,16500.0,2
95,4,5,225.0,110.0,4950000000.0,Tebet,True,False,True,False,16500.0,2
96,5,7,246.0,272.0,6500000000.0,Pancoran,True,False,True,False,16500.0,2
97,7,8,536.0,500.0,17750000000.0,Pancoran,True,True,True,False,16500.0,2
98,5,5,300.0,700.0,15000000000.0,Pesanggrahan,True,False,False,False,16500.0,2
99,3,5,100.0,110.0,1695000000.0,Pesanggrahan,True,True,True,True,16500.0,2
100,6,6,160.0,116.0,2300000000.0,Cilandak,True,False,False,False,16500.0,2
101,4,5,500.0,368.0,35000000000.0,Kebayoran Baru,True,False,False,False,16500.0,2
102,4,6,380.0,213.0,8700000000.0,Pasar Minggu,True,True,True,False,16500.0,3
103,4,6,250.0,140.0,5500000000.0,Kebayoran Lama,True,False,True,False,16500.0,2
104,5,7,800.0,785.0,52500000000.0,Kebayoran Lama,True,False,False,False,16500.0,2
105,5,6,333.0,253.0,13500000000.0,Kebayoran Lama,True,False,False,False,16500.0,3
106,7,9,445.0,247.0,9500000000.0,Tebet,True,True,True,False,16500.0,3
107,8,8,900.0,520.0,44000000000.0,Kebayoran Lama,True,True,False,False,16500.0,2
108,5,6,225.0,110.0,4950000000.0,Tebet,True,False,True,False,16500.0,3
109,3,4,95.0,72.0,1300000000.0,Jagakarsa,True,False,True,False,16500.0,2
110,5,5,151.0,101.0,3330000000.0,Cilandak,True,False,True,False,16500.0,2
111,4,6,246.0,148.0,5700000000.0,Kebayoran Lama,True,False,False,False,16500.0,4
112,4,5,90.0,62.0,1200000000.0,Jagakarsa,True,False,False,False,16500.0,4
113,7,8,1150.0,445.0,16500000000.0,Cilandak,True,True,True,True,16500.0,3
114,6,10,350.0,250.0,10500000000.0,Setiabudi,True,False,False,False,16500.0,2
115,4,7,600.0,915.0,10000000000.0,Pasar Minggu,True,False,False,False,16500.0,1
116,3,4,180.0,110.0,3000000000.0,Cilandak,True,False,True,False,16500.0,3
117,4,5,230.0,105.0,4900000000.0,Cilandak,True,False,False,False,16500.0,3
118,7,6,396.0,318.0,6000000000.0,Mampang Prapatan,True,False,True,False,16500.0,2
119,6,5,390.0,130.0,5500000000.0,Tebet,True,False,False,False,16500.0,2
120,4,4,150.0,107.0,1700000000.0,Jagakarsa,True,False,False,False,16500.0,2
121,3,4,119.0,99.0,2252463924.0,Jagakarsa,True,False,True,False,16500.0,2
122,4,4,150.0,115.0,1750000000.0,Jagakarsa,True,False,True,False,16500.0,2
123,6,6,380.0,230.0,8500000000.0,Cilandak,True,False,False,False,16500.0,2
124,4,4,110.0,64.0,1299000000.0,Cilandak,True,True,False,True,16500.0,2
125,4,5,370.0,229.0,9500000000.0,Kebayoran Lama,True,True,False,False,16500.0,3
126,4,5,290.0,232.0,6650000000.0,Pasar Minggu,True,False,True,False,16500.0,2
127,7,8,485.0,482.0,10625000000.0,Pasar Minggu,True,True,True,False,16500.0,2
128,5,5,260.0,380.0,9500000000.0,Pasar Minggu,True,True,False,False,16500.0,2
129,4,4,180.0,160.0,4200000000.0,Pesanggrahan,True,False,False,False,16500.0,2
130,4,8,178.0,158.0,2900000000.0,Tebet,True,False,False,False,16500.0,1
131,3,5,262.0,401.0,14000000000.0,Kebayoran Lama,True,True,False,False,16500.0,2
132,4,4,278.0,159.0,8250000000.0,Cilandak,True,True,False,False,16500.0,2
133,4,5,400.0,151.0,6000000000.0,Pasar Minggu,True,False,False,False,16500.0,2
134,4,5,255.0,306.0,6700000000.0,Pasar Minggu,True,True,True,False,16500.0,2
135,3,3,80.0,90.0,2065000000.0,Pesanggrahan,True,True,True,False,5500.0,2
136,4,5,246.0,148.0,5700000000.0,Kebayoran Lama,True,False,False,False,5500.0,4
137,5,5,358.0,505.0,27000000000.0,Kebayoran Lama,True,True,False,False,5500.0,2
138,6,6,525.0,525.0,37500000000.0,Kebayoran Lama,True,True,False,False,5500.0,2
139,3,4,260.0,136.0,3900000000.0,Cilandak,True,False,True,False,5500.0,3
140,5,6,220.0,180.0,3200000000.0,Jagakarsa,True,False,True,False,5500.0,2
141,4,4,160.0,170.0,4200000000.0,Pasar Minggu,True,False,False,False,2200.0,2
142,4,7,350.0,200.0,4500000000.0,Pasar Minggu,True,False,False,False,5500.0,3
143,7,7,1000.0,466.0,30000000000.0,Kebayoran Lama,True,True,False,False,5500.0,3
144,8,9,670.0,241.0,26000000000.0,Kebayoran Baru,True,False,False,False,5500.0,3
145,5,5,450.0,440.0,25000000000.0,Kebayoran Lama,True,True,True,False,5500.0,2
146,3,5,200.0,322.0,6500000000.0,Cilandak,True,False,False,False,5500.0,3
147,5,6,460.0,406.0,8000000000.0,Tebet,True,False,False,False,5500.0,2
148,4,5,610.0,326.0,26000000000.0,Kebayoran Baru,True,True,False,False,5500.0,3
149,4,5,159.0,118.0,5800000000.0,Kebayoran Lama,True,False,False,False,5500.0,3
150,4,5,550.0,1080.0,15000000000.0,Cilandak,True,True,True,False,5500.0,3
151,4,4,129.0,100.0,2380000000.0,Jagakarsa,True,False,False,False,5500.0,3
152,3,3,60.0,79.0,850000000.0,Jagakarsa,True,False,False,False,5500.0,3
153,4,4,150.0,120.0,2500000000.0,Jagakarsa,True,False,True,False,5500.0,2
154,4,4,110.0,96.0,1600000000.0,Jagakarsa,True,False,True,False,5500.0,2
155,4,5,550.0,487.0,20000000000.0,Kebayoran Lama,True,True,True,False,5500.0,2
156,4,4,210.0,105.0,7500000000.0,Kebayoran Baru,True,False,False,False,5500.0,2
157,5,7,200.0,257.0,15000000000.0,Kebayoran Baru,True,False,True,False,5500.0,2
158,7,8,650.0,516.0,10500000000.0,Jagakarsa,True,True,False,False,5500.0,2
159,11,13,425.0,870.0,14500000000.0,Cilandak,True,True,True,False,5500.0,2
160,6,6,485.0,482.0,10600000000.0,Pasar Minggu,True,False,False,False,5500.0,3
161,3,6,150.0,153.0,2400000000.0,Pasar Minggu,True,False,False,False,5500.0,2
162,8,8,700.0,465.0,11500000000.0,Pasar Minggu,True,True,False,False,3300.0,2
163,5,5,400.0,341.0,7900000000.0,Pasar Minggu,True,False,False,False,3300.0,2
164,4,5,140.0,90.0,3800000000.0,Tebet,True,False,False,False,3300.0,2
165,7,8,320.0,150.0,5000000000.0,Tebet,True,False,False,False,3300.0,2
166,2,3,45.0,69.0,789090000.0,Pesanggrahan,True,True,False,False,5500.0,2
167,8,6,650.0,1800.0,15700000000.0,Pasar Minggu,True,True,False,False,5500.0,2
168,5,6,256.0,450.0,5000000000.0,Pesanggrahan,True,True,False,False,5500.0,2
169,3,6,480.0,312.0,12500000000.0,Tebet,True,False,False,False,5500.0,2
170,4,5,274.0,131.0,5187457688.0,Kebayoran Lama,True,True,False,False,5500.0,3
171,5,6,150.0,116.0,2500000000.0,Cilandak,True,False,False,False,5500.0,3
172,3,6,150.0,246.0,6000000000.0,Kebayoran Baru,True,False,False,False,5500.0,1
173,7,8,520.0,550.0,22000000000.0,Pasar Minggu,True,True,True,False,5500.0,2
174,8,9,1000.0,1000.0,22000000000.0,Pasar Minggu,True,True,False,False,5500.0,2
175,4,4,200.0,116.0,4500000000.0,Kebayoran Lama,True,False,False,False,5500.0,2
176,3,4,60.0,60.0,988000000.0,Pesanggrahan,True,False,True,False,5500.0,2
177,4,6,275.0,121.0,4200000000.0,Tebet,True,False,False,False,5500.0,2
178,5,5,253.0,127.0,5900000000.0,Pasar Minggu,True,True,False,False,5500.0,2
179,4,4,380.0,224.0,9500000000.0,Pasar Minggu,True,True,False,False,5500.0,3
180,6,6,266.0,247.0,8800000000.0,Cilandak,True,True,False,False,5500.0,2
181,2,5,360.0,995.0,5200000000.0,Mampang Prapatan,True,False,False,False,5500.0,2
182,5,5,160.0,108.0,3550000000.0,Pasar Minggu,True,False,True,False,5500.0,2
183,4,4,400.0,563.0,10000000000.0,Pasar Minggu,True,False,True,False,5500.0,2
184,4,6,600.0,400.0,7000000000.0,Pesanggrahan,True,False,False,False,5500.0,2
185,7,7,1000.0,800.0,17000000000.0,Kebayoran Lama,True,True,False,False,5500.0,2
186,5,5,140.0,76.0,2500000000.0,Cilandak,True,False,False,False,5500.0,3
187,5,5,200.0,139.0,2100000000.0,Jagakarsa,True,False,True,False,5500.0,2
188,5,5,126.0,122.0,3175800000.0,Cilandak,True,False,False,False,5500.0,2
189,5,7,400.0,1425.0,19000000000.0,Pasar Minggu,True,True,False,False,5500.0,2
190,7,7,525.0,525.0,37500000000.0,Kebayoran Lama,True,True,False,False,5500.0,2
191,5,6,110.0,110.0,5500000000.0,Kebayoran Baru,True,False,False,False,5500.0,3
192,5,6,350.0,295.0,5750000000.0,Pasar Minggu,True,False,False,False,5500.0,2
193,4,5,250.0,140.0,5400000000.0,Kebayoran Lama,True,False,False,False,5500.0,2
194,5,6,500.0,780.0,23000000000.0,Kebayoran Baru,True,False,False,False,5500.0,2
195,6,6,1000.0,375.0,26500000000.0,Kebayoran Lama,True,False,False,False,5500.0,3
196,4,4,128.0,94.0,3800000000.0,Tebet,True,False,True,False,5500.0,2
197,4,4,150.0,120.0,2600000000.0,Pesanggrahan,True,False,True,False,5500.0,2
198,8,8,50.0,1000.0,13000000000.0,Pasar Minggu,True,False,False,False,5500.0,2
199,4,6,320.0,200.0,3600000000.0,Pasar Minggu,True,False,True,False,4400.0,2
200,4,4,130.0,120.0,1800000000.0,Jagakarsa,True,False,True,False,4400.0,2
201,4,3,200.0,250.0,7500000000.0,Kebayoran Lama,True,False,False,False,4400.0,1
202,5,6,200.0,128.0,8500000000.0,Kebayoran Lama,True,False,False,False,4400.0,1
203,4,8,780.0,834.0,18000000000.0,Mampang Prapatan,True,False,False,False,4400.0,2
204,6,8,1000.0,550.0,27000000000.0,Kebayoran Lama,True,True,False,False,4400.0,2
205,5,7,180.0,205.0,4000000000.0,Pasar Minggu,True,False,True,False,4400.0,3
206,5,6,340.0,230.0,10000000000.0,Kebayoran Baru,True,False,False,False,4400.0,2
207,4,6,200.0,380.0,5500000000.0,Pasar Minggu,True,False,False,False,1300.0,1
208,5,5,450.0,307.0,15500000000.0,Kebayoran Lama,True,True,False,False,4400.0,2
209,5,5,500.0,588.0,68000000000.0,Kebayoran Baru,True,False,False,False,4400.0,2
210,5,6,310.0,156.0,9500000000.0,Kebayoran Lama,True,False,False,False,4400.0,2
211,4,5,253.0,185.0,6000000000.0,Pasar Minggu,True,True,False,False,4400.0,3
212,4,5,700.0,604.0,30000000000.0,Kebayoran Lama,True,False,False,False,4400.0,3
213,7,6,750.0,614.0,37000000000.0,Kebayoran Lama,True,True,False,False,4400.0,3
214,6,6,550.0,485.0,26000000000.0,Tebet,True,False,False,False,4400.0,2
215,5,5,390.0,200.0,7500000000.0,Cilandak,True,True,False,False,4400.0,2
216,5,6,190.0,128.0,2100000000.0,Jagakarsa,True,False,False,False,4400.0,2
217,4,5,250.0,217.0,5500000000.0,Tebet,True,False,False,False,4400.0,2
218,3,5,200.0,150.0,3750000000.0,Pasar Minggu,True,False,False,False,4400.0,2
219,4,4,140.0,140.0,2870000000.0,Cilandak,True,False,False,False,4400.0,2
220,2,3,105.0,90.0,1600000000.0,Tebet,True,False,False,False,4400.0,2
221,3,5,80.0,120.0,4700000000.0,Kebayoran Lama,True,False,True,False,4400.0,2
222,4,6,210.0,90.0,2000000000.0,Jagakarsa,True,True,True,False,4400.0,3
223,5,5,125.0,84.0,2385000000.0,Cilandak,True,False,False,False,4400.0,2
224,5,5,230.0,198.0,3000000000.0,Cilandak,True,False,False,False,4400.0,2
225,5,7,450.0,587.0,16500000000.0,Mampang Prapatan,True,False,False,False,4400.0,1
226,5,6,300.0,238.0,6600000000.0,Cilandak,True,True,True,False,4400.0,3
227,7,9,441.0,369.0,6500000000.0,Pasar Minggu,True,False,False,False,4400.0,2
228,5,6,500.0,630.0,11500000000.0,Pasar Minggu,True,False,True,False,4400.0,2
229,4,6,300.0,280.0,9500000000.0,Kebayoran Lama,True,True,False,False,4400.0,1
230,6,7,400.0,291.0,15000000000.0,Kebayoran Lama,True,True,True,False,4400.0,2
231,3,4,100.0,192.0,2700000000.0,Jagakarsa,True,False,False,False,4400.0,1
232,10,6,1500.0,2610.0,40000000000.0,Cilandak,True,False,False,False,4400.0,1
233,7,7,240.0,204.0,4500000000.0,Pasar Minggu,True,False,False,False,4400.0,2
234,6,8,420.0,895.0,13000000000.0,Pasar Minggu,True,True,False,False,4400.0,2
235,4,4,110.0,110.0,1550000000.0,Jagakarsa,True,False,True,False,4400.0,2
236,6,7,1400.0,485.0,55000000000.0,Kebayoran Lama,True,True,False,False,4400.0,3
237,5,7,750.0,960.0,17500000000.0,Mampang Prapatan,True,True,False,False,4400.0,2
238,5,8,276.0,204.0,3500000000.0,Mampang Prapatan,True,False,False,False,4400.0,1
239,5,6,700.0,1000.0,45000000000.0,Pasar Minggu,True,True,True,False,4400.0,1
240,6,6,1000.0,600.0,60000000000.0,Kebayoran Lama,True,True,True,False,4400.0,2
241,5,6,405.0,304.0,8700000000.0,Cilandak,True,False,True,False,4400.0,2
242,5,6,300.0,334.0,6500000000.0,Cilandak,True,False,True,False,5500.0,2
243,4,6,130.0,100.0,1600000000.0,Jagakarsa,True,False,True,False,4400.0,2
244,4,5,230.0,116.0,4700000000.0,Pasar Minggu,True,True,False,False,4400.0,2
245,5,6,250.0,120.0,3400000000.0,Pancoran,True,False,False,False,4400.0,3
246,7,6,450.0,415.0,10000000000.0,Pasar Minggu,True,True,False,False,10500.0,2
247,9,8,660.0,477.0,12000000000.0,Pasar Minggu,True,True,False,False,4400.0,2
248,7,8,750.0,465.0,12000000000.0,Pasar Minggu,True,True,True,False,4400.0,2
249,7,7,750.0,465.0,12000000000.0,Pasar Minggu,True,True,False,False,4400.0,2
250,6,8,800.0,716.0,11500000000.0,Mampang Prapatan,True,False,False,False,4400.0,2
251,4,6,350.0,500.0,9500000000.0,Pasar Minggu,True,False,False,False,4400.0,2
252,4,5,222.0,220.0,3500000000.0,Jagakarsa,True,False,False,False,4400.0,2
253,3,5,500.0,1100.0,22000000000.0,Mampang Prapatan,True,True,False,False,16500.0,2
254,3,4,87.0,70.0,1457000000.0,Pancoran,True,False,False,False,4400.0,2
255,5,5,275.0,135.0,5750000000.0,Tebet,True,False,False,False,4400.0,3
256,5,6,330.0,368.0,8500000000.0,Tebet,True,False,True,False,4400.0,1
257,2,4,500.0,310.0,14500000000.0,Tebet,True,False,False,False,4400.0,2
258,4,5,389.0,299.0,17000000000.0,Cilandak,True,True,False,False,4400.0,2
259,5,7,250.0,154.0,2300000000.0,Pasar Minggu,True,False,False,False,4400.0,2
260,3,4,88.0,82.0,900765600.0,Pesanggrahan,True,True,False,False,4400.0,2
261,3,6,600.0,540.0,23500000000.0,Kebayoran Lama,True,True,False,False,4400.0,2
262,5,6,160.0,108.0,3500000000.0,Pasar Minggu,True,False,True,False,4400.0,2
263,7,8,650.0,1188.0,11500000000.0,Pasar Minggu,True,False,False,False,4400.0,2
264,7,6,343.0,260.0,7500000000.0,Cilandak,True,True,True,False,4400.0,2
265,4,5,190.0,85.0,4200000000.0,Cilandak,True,True,True,False,4400.0,3
266,7,5,750.0,670.0,25000000000.0,Mampang Prapatan,True,True,False,False,4400.0,3
267,6,6,250.0,200.0,4600000000.0,Cilandak,True,False,True,False,4400.0,2
268,6,7,400.0,450.0,6500000000.0,Cilandak,True,False,False,False,4400.0,2
269,4,5,525.0,380.0,13000000000.0,Pasar Minggu,True,True,False,False,4400.0,2
270,7,7,1400.0,850.0,54000000000.0,Kebayoran Lama,True,True,True,False,4400.0,2
271,6,5,800.0,600.0,45000000000.0,Kebayoran Lama,True,True,True,True,4400.0,2
272,5,6,1911.0,1426.0,70000000000.0,Kebayoran Lama,True,True,True,False,4400.0,2
273,3,4,250.0,200.0,5250000000.0,Cilandak,True,False,False,False,4400.0,2
274,5,6,438.0,220.0,16000000000.0,Kebayoran Lama,True,False,True,False,4400.0,2
275,5,6,220.0,140.0,4000000000.0,Tebet,True,False,True,False,4400.0,2
276,4,4,200.0,180.0,3200000000.0,Cilandak,True,False,False,False,4400.0,2
277,4,5,70.0,40.0,1875000000.0,Pasar Minggu,True,False,False,False,4400.0,1
278,4,4,136.0,105.0,3200000000.0,Cilandak,True,False,False,False,4400.0,1
279,3,4,202.0,155.0,3800000000.0,Cilandak,True,False,True,False,4400.0,2
280,7,8,510.0,778.0,12000000000.0,Pasar Minggu,True,True,True,False,4400.0,2
281,5,6,260.0,155.0,3600000000.0,Cilandak,True,False,False,False,4400.0,2
282,4,4,140.0,138.0,3500000000.0,Cilandak,True,False,True,False,4400.0,2
283,6,5,400.0,288.0,15000000000.0,Kebayoran Baru,True,False,True,False,4400.0,2
284,5,5,740.0,457.0,22900000000.0,Kebayoran Lama,True,True,True,False,4400.0,3
285,5,7,350.0,206.0,3300000000.0,Pasar Minggu,True,False,False,False,4400.0,2
286,4,5,248.0,190.0,5400000000.0,Pasar Minggu,True,True,False,False,4400.0,2
287,5,7,450.0,300.0,12000000000.0,Cilandak,True,True,False,False,4400.0,2
288,5,6,550.0,525.0,37500000000.0,Kebayoran Lama,True,True,True,False,4400.0,2
289,5,5,297.0,152.0,6000000000.0,Kebayoran Lama,True,False,True,False,4400.0,3
290,5,5,500.0,572.0,36500000000.0,Kebayoran Baru,True,True,True,False,4400.0,2
291,7,8,390.0,130.0,5500000000.0,Tebet,True,True,True,False,4400.0,4
292,7,10,1200.0,1200.0,25000000000.0,Jagakarsa,True,True,False,False,4400.0,2
293,3,5,219.0,291.0,6200000000.0,Cilandak,True,False,False,False,4400.0,1
294,8,12,1000.0,1160.0,36000000000.0,Pasar Minggu,True,False,False,False,4400.0,2
295,8,11,330.0,230.0,6000000000.0,Pasar Minggu,True,False,False,False,4400.0,2
296,3,7,400.0,522.0,23000000000.0,Kebayoran Baru,True,False,False,False,4400.0,2
297,4,6,300.0,235.0,4600000000.0,Mampang Prapatan,True,False,False,False,4400.0,2
298,4,5,140.0,158.0,3800000000.0,Pasar Minggu,True,False,False,False,4400.0,2
299,3,4,100.0,90.0,1500000000.0,Jagakarsa,True,False,False,False,4400.0,2
300,4,6,142.0,104.0,1800000000.0,Jagakarsa,True,False,False,False,4400.0,1
301,3,4,100.0,192.0,3400000000.0,Jagakarsa,True,False,False,False,4400.0,1
302,6,6,300.0,234.0,8700000000.0,Cilandak,True,False,False,False,4400.0,2
303,5,6,410.0,259.0,7500000000.0,Pasar Minggu,True,True,False,False,4400.0,3
304,6,8,400.0,540.0,8500000000.0,Pasar Minggu,True,False,False,False,4400.0,3
305,3,5,100.0,323.0,2900000000.0,Pesanggrahan,True,False,False,False,4400.0,3
306,5,6,200.0,162.0,6500000000.0,Kebayoran Baru,True,False,False,False,5500.0,3
307,6,10,530.0,850.0,23000000000.0,Cilandak,True,True,False,False,4400.0,2
308,3,4,300.0,250.0,10500000000.0,Kebayoran Lama,True,False,False,False,4400.0,2
309,6,7,400.0,316.0,15000000000.0,Kebayoran Lama,True,True,True,False,4400.0,2
310,6,6,410.0,256.0,7500000000.0,Pasar Minggu,True,True,True,False,4400.0,2
311,9,8,1000.0,700.0,54000000000.0,Kebayoran Baru,True,True,False,False,4400.0,2
312,5,5,350.0,250.0,10500000000.0,Cilandak,True,True,False,False,4400.0,3
313,4,5,250.0,140.0,5500000000.0,Kebayoran Lama,True,False,True,False,4400.0,2
